Date,Open,High,Low,Close,Adj Close,Volume,Ticker,selic,oil_price,exchange_rate,ipca,bovespa
2020-05-28,19.690000534057617,20.079999923706055,19.450000762939453,19.770000457763672,7.034591197967529,65023000,PETR4.SA,0.011345,33.98,5.4036,0.25,86949.0
2020-05-29,19.549999237060547,20.34000015258789,19.299999237060547,20.34000015258789,7.237411022186279,128832600,PETR4.SA,0.011345,34.15,5.4036,0.25,87403.0
2020-06-01,20.149999618530273,20.559999465942383,20.0,20.329999923706055,7.233850955963135,86579500,PETR4.SA,0.011345,36.74,5.3665,-0.26,88620.0
2020-06-02,20.75,21.399999618530273,20.600000381469727,21.399999618530273,7.614581108093262,77235100,PETR4.SA,0.011345,37.72,5.1993,-0.26,91046.0
2020-06-03,21.860000610351562,21.90999984741211,21.40999984741211,21.469999313354492,7.639488220214844,86219700,PETR4.SA,0.011345,37.98,5.0616,-0.26,93002.0
2020-06-04,21.389999389648438,21.780000686645508,21.040000915527344,21.43000030517578,7.625256061553955,107401400,PETR4.SA,0.011345,38.41,5.1172,-0.26,93829.0
2020-06-05,22.290000915527344,23.030000686645508,22.059999465942383,22.100000381469727,7.863656520843506,114137700,PETR4.SA,0.011345,41.0,5.1172,-0.26,94637.0
2020-06-08,22.549999237060547,22.59000015258789,22.010000228881836,22.530000686645508,8.0166597366333,82444400,PETR4.SA,0.011345,39.66,4.8216,-0.26,97645.0
2020-06-09,22.030000686645508,22.040000915527344,21.639999389648438,21.719999313354492,7.728442668914795,96488300,PETR4.SA,0.011345,40.45,4.8984,-0.26,96747.0
2020-06-10,21.889999389648438,21.899999618530273,21.0,21.399999618530273,7.614581108093262,102551100,PETR4.SA,0.011345,41.18,4.9722,-0.26,94686.0
2020-06-12,20.6200008392334,21.170000076293945,20.100000381469727,20.600000381469727,7.329922676086426,116746700,PETR4.SA,0.011345,38.54,4.9722,-0.26,92795.0
2020-06-15,19.809999465942383,21.09000015258789,19.540000915527344,20.700000762939453,7.365507125854492,99931000,PETR4.SA,0.011345,39.44,5.15321,-0.26,92376.0
2020-06-16,21.559999465942383,21.90999984741211,21.170000076293945,21.3700008392334,7.603907108306885,94510600,PETR4.SA,0.011345,40.75,5.2436,-0.26,93531.0
2020-06-17,21.479999542236328,21.850000381469727,21.149999618530273,21.440000534057617,7.628814697265625,63268700,PETR4.SA,0.011345,40.47,5.2279,-0.26,95547.0
2020-06-18,21.18000030517578,21.770000457763672,21.079999923706055,21.600000381469727,7.685745716094971,56893300,PETR4.SA,0.008442,41.75,5.3772,-0.26,96125.0
2020-06-19,22.0,22.219999313354492,21.219999313354492,21.469999313354492,7.639488220214844,91139800,PETR4.SA,0.008442,42.33,5.3772,-0.26,96572.0
2020-06-22,21.600000381469727,21.600000381469727,20.899999618530273,20.950000762939453,7.454461097717285,45419000,PETR4.SA,0.008442,43.2,5.2519,-0.26,95336.0
2020-06-23,21.219999313354492,22.06999969482422,21.139999389648438,21.649999618530273,7.703535556793213,78950900,PETR4.SA,0.008442,42.72,5.151,-0.26,95975.0
2020-06-24,21.489999771118164,21.559999465942383,20.709999084472656,21.0,7.472252368927002,65162400,PETR4.SA,0.008442,40.4,5.3466,-0.26,94377.0
2020-06-25,20.90999984741211,21.469999313354492,20.729999542236328,21.469999313354492,7.639488220214844,47263500,PETR4.SA,0.008442,41.18,5.3595,-0.26,95983.0
